Using TensorFlow backend.
[94mObteniendo datos...[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LOS RESTAURANTES[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LOS USUARIOS[0m
[93m[AVISO] 	Usuarios: 563[0m
[93m[AVISO] 	Restaurantes: 570[0m
[93m[AVISO] Cargando datos generados previamente...[0m
[94mCreando modelo...[0m


##################################################
 MODELV6
##################################################
 modelv60 Básico
##################################################
[93m[AVISO] Existen 11 combinaciones posibles[0m
--------------------------------------------------
a04b6b303c1653d06eb145239a1bbb4a
--------------------------------------------------
[1mlearning_rate: [0m0.1
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
80	 0.206	 0.020	 0.255
81	 0.211	 0.017	 0.255
82	 0.215	 0.015	 0.255
83	 0.209	 0.013	 0.255
84	 0.211	 0.011	 0.255
85	 0.211	 0.009	 0.254
86	 0.217	 0.008	 0.254
87	 0.213	 0.006	 0.254
88	 0.210	 0.005	 0.254
89	 0.217	 0.004	 0.254
90	 0.214	 0.003	 0.254
91	 0.210	 0.003	 0.254
92	 0.214	 0.002	 0.254
93	 0.216	 0.002	 0.254
94	 0.216	 0.002	 0.254
95	 0.216	 0.001	 0.254
96	 0.213	 0.001	 0.254
97	 0.213	 0.001	 0.254
98	 0.216	 0.001	 0.254
99	 1.033	 0.001	 0.254	49.040	50.000
--------------------------------------------------
26645212b0d7769b910653e2e6303a32
--------------------------------------------------
[1mlearning_rate: [0m0.05
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.651	 1.001	 3.986
1	 0.197	 0.991	 4.638
2	 0.194	 0.980	 4.538
3	 0.191	 0.969	 4.448
4	 0.194	 0.957	 4.408
5	 0.191	 0.945	 4.391
6	 0.189	 0.933	 4.369
7	 0.191	 0.920	 4.353
8	 0.192	 0.907	 4.349
9	 0.198	 0.893	 4.346
10	 0.193	 0.879	 4.342
11	 0.193	 0.865	 4.340
12	 0.194	 0.850	 4.340
13	 0.191	 0.835	 4.339
14	 0.193	 0.820	 4.338
15	 0.190	 0.805	 4.333
16	 0.190	 0.789	 4.326
17	 0.191	 0.773	 4.310
18	 0.193	 0.757	 4.312
19	 0.198	 0.741	 4.330
20	 0.194	 0.725	 4.329
21	 0.194	 0.708	 4.326
22	 0.194	 0.692	 4.323
23	 0.193	 0.675	 4.321
24	 0.197	 0.658	 4.321
25	 0.199	 0.641	 4.321
26	 0.198	 0.624	 4.319
27	 0.198	 0.607	 4.314
28	 0.197	 0.590	 4.314
29	 0.196	 0.574	 4.314
30	 0.199	 0.557	 4.314
31	 0.197	 0.540	 4.314
32	 0.196	 0.523	 4.314
33	 0.198	 0.507	 4.314
34	 0.197	 0.490	 4.314
35	 0.198	 0.474	 4.314
36	 0.203	 0.457	 4.314
37	 0.195	 0.441	 4.314
38	 0.197	 0.425	 4.314
39	 0.198	 0.409	 4.314
40	 0.203	 0.394	 4.314
41	 0.207	 0.378	 4.314
42	 0.203	 0.363	 4.314
43	 0.207	 0.348	 4.314
44	 0.201	 0.333	 4.314
45	 0.203	 0.319	 4.314
46	 0.198	 0.305	 4.314
47	 0.205	 0.291	 4.314
48	 0.200	 0.277	 4.314
49	 0.200	 0.264	 4.314
50	 0.203	 0.251	 4.314
51	 0.201	 0.238	 4.314
52	 0.202	 0.226	 4.314
53	 0.205	 0.214	 4.314
54	 0.203	 0.202	 4.314
55	 0.204	 0.191	 4.314
56	 0.209	 0.180	 4.314
57	 0.208	 0.169	 4.314
58	 0.205	 0.159	 4.314
59	 0.206	 0.149	 4.314
60	 0.202	 0.139	 4.314
61	 0.207	 0.130	 4.314
62	 0.206	 0.121	 4.314
63	 0.207	 0.113	 4.314
64	 0.208	 0.104	 4.314
65	 0.206	 0.097	 4.314
66	 0.204	 0.089	 4.314
67	 0.208	 0.082	 4.314
68	 0.206	 0.075	 4.314
69	 0.212	 0.069	 4.314
70	 0.206	 0.063	 4.314
71	 0.205	 0.057	 4.314
72	 0.211	 0.052	 4.314
73	 0.209	 0.047	 4.314
74	 0.208	 0.042	 4.314
75	 0.209	 0.038	 4.314
76	 0.214	 0.034	 4.314
77	 0.212	 0.030	 4.314
78	 0.205	 0.026	 4.314
79	 0.210	 0.023	 4.314
80	 0.212	 0.020	 4.314
81	 0.206	 0.017	 4.314
82	 0.211	 0.015	 4.314
83	 0.213	 0.013	 4.314
84	 0.209	 0.011	 4.314
85	 0.212	 0.009	 4.314
86	 0.238	 0.008	 4.314
87	 0.222	 0.006	 4.314
88	 0.205	 0.005	 4.314
89	 0.214	 0.004	 4.314
90	 0.213	 0.003	 4.314
91	 0.209	 0.003	 4.314
92	 0.216	 0.002	 4.314
93	 0.215	 0.002	 4.314
94	 0.214	 0.002	 4.314
95	 0.215	 0.001	 4.314
96	 0.217	 0.001	 4.314
97	 0.212	 0.001	 4.314
98	 0.221	 0.001	 4.314
99	 1.056	 0.001	 4.314	49.110	50.000
--------------------------------------------------
2ce6a09470a5e49af72a3110fb5fdd5d
--------------------------------------------------
[1mlearning_rate: [0m0.001
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.496	 1.001	 2.090
1	 0.189	 0.991	 1.368
2	 0.194	 0.980	 1.092
3	 0.193	 0.969	 0.910
4	 0.210	 0.957	 0.786
5	 0.186	 0.945	 0.698
6	 0.193	 0.933	 0.634
7	 0.190	 0.920	 0.591
8	 0.191	 0.907	 0.559
9	 0.195	 0.893	 0.534
10	 0.190	 0.879	 0.514
11	 0.193	 0.865	 0.500
12	 0.193	 0.850	 0.487
13	 0.193	 0.835	 0.477
14	 0.189	 0.820	 0.468
15	 0.189	 0.805	 0.458
16	 0.194	 0.789	 0.450
17	 0.193	 0.773	 0.442
18	 0.195	 0.757	 0.434
19	 0.193	 0.741	 0.427
20	 0.195	 0.725	 0.419
21	 0.192	 0.708	 0.412
22	 0.191	 0.692	 0.404
23	 0.196	 0.675	 0.397
24	 0.199	 0.658	 0.390
25	 0.197	 0.641	 0.383
26	 0.194	 0.624	 0.375
27	 0.195	 0.607	 0.369
28	 0.196	 0.590	 0.362
29	 0.198	 0.574	 0.356
30	 0.195	 0.557	 0.349
31	 0.201	 0.540	 0.342
32	 0.202	 0.523	 0.336
33	 0.196	 0.507	 0.330
34	 0.189	 0.490	 0.324
35	 0.197	 0.474	 0.318
36	 0.200	 0.457	 0.313
37	 0.196	 0.441	 0.307
38	 0.200	 0.425	 0.303
39	 0.203	 0.409	 0.297
40	 0.200	 0.394	 0.293
41	 0.199	 0.378	 0.288
42	 0.198	 0.363	 0.284
43	 0.201	 0.348	 0.279
44	 0.195	 0.333	 0.276
45	 0.199	 0.319	 0.272
46	 0.202	 0.305	 0.268
47	 0.198	 0.291	 0.264
48	 0.209	 0.277	 0.261
49	 0.200	 0.264	 0.258
50	 0.202	 0.251	 0.255
51	 0.199	 0.238	 0.252
52	 0.203	 0.226	 0.250
53	 0.201	 0.214	 0.247
54	 0.196	 0.202	 0.245
55	 0.205	 0.191	 0.242
56	 0.204	 0.180	 0.241
57	 0.234	 0.169	 0.239
58	 0.198	 0.159	 0.237
59	 0.203	 0.149	 0.235
60	 0.205	 0.139	 0.233
61	 0.200	 0.130	 0.232
62	 0.208	 0.121	 0.230
63	 0.203	 0.113	 0.229
64	 0.203	 0.104	 0.228
65	 0.209	 0.097	 0.227
66	 0.204	 0.089	 0.226
67	 0.207	 0.082	 0.225
68	 0.204	 0.075	 0.224
69	 0.211	 0.069	 0.223
70	 0.204	 0.063	 0.222
71	 0.212	 0.057	 0.222
72	 0.205	 0.052	 0.221
73	 0.208	 0.047	 0.221
74	 0.366	 0.042	 0.220
75	 0.212	 0.038	 0.220
76	 0.214	 0.034	 0.219
77	 0.211	 0.030	 0.219
78	 0.214	 0.026	 0.219
79	 0.210	 0.023	 0.218
80	 0.211	 0.020	 0.218
81	 0.212	 0.017	 0.218
82	 0.207	 0.015	 0.218
83	 0.211	 0.013	 0.217
84	 0.209	 0.011	 0.217
85	 0.209	 0.009	 0.217
86	 0.309	 0.008	 0.217
87	 0.224	 0.006	 0.217
88	 0.214	 0.005	 0.217
89	 0.219	 0.004	 0.217
90	 0.216	 0.003	 0.217
91	 0.216	 0.003	 0.217
92	 0.220	 0.002	 0.217
93	 0.212	 0.002	 0.217
94	 0.214	 0.002	 0.217
95	 0.218	 0.001	 0.217
96	 0.216	 0.001	 0.217
97	 0.217	 0.001	 0.217
98	 0.218	 0.001	 0.217
99	 1.050	 0.001	 0.217	47.042	44.000
--------------------------------------------------
37d0321f5893f27994735c2da7375649
--------------------------------------------------
[1mlearning_rate: [0m0.0005
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.504	 1.001	 2.184
1	 0.192	 0.991	 1.638
2	 0.189	 0.980	 1.426
3	 0.192	 0.969	 1.263
4	 0.188	 0.957	 1.137
5	 0.192	 0.945	 1.034
6	 0.192	 0.933	 0.948
7	 0.190	 0.920	 0.877
8	 0.195	 0.907	 0.816
9	 0.190	 0.893	 0.765
10	 0.193	 0.879	 0.720
11	 0.188	 0.865	 0.683
12	 0.196	 0.850	 0.651
13	 0.193	 0.835	 0.623
14	 0.195	 0.820	 0.601
15	 0.197	 0.805	 0.582
16	 0.192	 0.789	 0.565
17	 0.192	 0.773	 0.549
18	 0.195	 0.757	 0.537
19	 0.194	 0.741	 0.526
20	 0.190	 0.725	 0.516
21	 0.195	 0.708	 0.508
22	 0.193	 0.692	 0.501
23	 0.354	 0.675	 0.495
24	 0.199	 0.658	 0.489
25	 0.190	 0.641	 0.484
26	 0.195	 0.624	 0.479
27	 0.198	 0.607	 0.475
28	 0.197	 0.590	 0.471
29	 0.197	 0.574	 0.467
30	 0.200	 0.557	 0.464
31	 0.227	 0.540	 0.460
32	 0.198	 0.523	 0.457
33	 0.205	 0.507	 0.454
34	 0.198	 0.490	 0.451
35	 0.200	 0.474	 0.449
36	 0.200	 0.457	 0.446
37	 0.199	 0.441	 0.444
38	 0.197	 0.425	 0.442
39	 0.201	 0.409	 0.439
40	 0.200	 0.394	 0.437
41	 0.204	 0.378	 0.435
42	 0.199	 0.363	 0.433
43	 0.207	 0.348	 0.431
44	 0.203	 0.333	 0.429
45	 0.197	 0.319	 0.427
46	 0.197	 0.305	 0.425
47	 0.203	 0.291	 0.423
48	 0.206	 0.277	 0.422
49	 0.208	 0.264	 0.420
50	 0.202	 0.251	 0.419
51	 0.200	 0.238	 0.417
52	 0.211	 0.226	 0.416
53	 0.202	 0.214	 0.415
54	 0.203	 0.202	 0.414
55	 0.199	 0.191	 0.412
56	 0.209	 0.180	 0.411
57	 0.203	 0.169	 0.410
58	 0.205	 0.159	 0.409
59	 0.202	 0.149	 0.408
60	 0.205	 0.139	 0.407
61	 0.204	 0.130	 0.407
62	 0.204	 0.121	 0.406
63	 0.212	 0.113	 0.405
64	 0.212	 0.104	 0.404
65	 0.211	 0.097	 0.404
66	 0.206	 0.089	 0.403
67	 0.208	 0.082	 0.403
68	 0.205	 0.075	 0.402
69	 0.204	 0.069	 0.402
70	 0.206	 0.063	 0.401
71	 0.209	 0.057	 0.401
72	 0.205	 0.052	 0.401
73	 0.214	 0.047	 0.400
74	 0.204	 0.042	 0.400
75	 0.207	 0.038	 0.400
76	 0.212	 0.034	 0.399
77	 0.207	 0.030	 0.399
78	 0.213	 0.026	 0.399
79	 0.210	 0.023	 0.399
80	 0.211	 0.020	 0.399
81	 0.213	 0.017	 0.399
82	 0.212	 0.015	 0.398
83	 0.216	 0.013	 0.398
84	 0.226	 0.011	 0.398
85	 0.214	 0.009	 0.398
86	 0.210	 0.008	 0.398
87	 0.214	 0.006	 0.398
88	 0.213	 0.005	 0.398
89	 0.211	 0.004	 0.398
90	 0.207	 0.003	 0.398
91	 0.214	 0.003	 0.398
92	 0.214	 0.002	 0.398
93	 0.212	 0.002	 0.398
94	 0.213	 0.002	 0.398
95	 0.211	 0.001	 0.398
96	 0.215	 0.001	 0.398
97	 0.203	 0.001	 0.398
98	 0.215	 0.001	 0.398
99	 1.062	 0.001	 0.398	46.124	43.000
--------------------------------------------------
b574d7dc087168584fe64cb3a7d47398
--------------------------------------------------
[1mlearning_rate: [0m0.0001
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.484	 1.001	 2.271
1	 0.193	 0.991	 1.939
2	 0.191	 0.980	 1.871
3	 0.192	 0.969	 1.808
4	 0.193	 0.957	 1.750
5	 0.190	 0.945	 1.697
6	 0.186	 0.933	 1.647
7	 0.188	 0.920	 1.601
8	 0.189	 0.907	 1.558
9	 0.191	 0.893	 1.518
10	 0.192	 0.879	 1.481
11	 0.194	 0.865	 1.445
12	 0.190	 0.850	 1.412
13	 0.198	 0.835	 1.381
14	 0.191	 0.820	 1.351
15	 0.223	 0.805	 1.323
16	 0.189	 0.789	 1.297
17	 0.191	 0.773	 1.271
18	 0.194	 0.757	 1.248
19	 0.197	 0.741	 1.225
20	 0.191	 0.725	 1.204
21	 0.192	 0.708	 1.183
22	 0.194	 0.692	 1.164
23	 0.194	 0.675	 1.145
24	 0.196	 0.658	 1.128
25	 0.193	 0.641	 1.111
26	 0.196	 0.624	 1.095
27	 0.197	 0.607	 1.080
28	 0.199	 0.590	 1.066
29	 0.193	 0.574	 1.052
30	 0.198	 0.557	 1.039
31	 0.202	 0.540	 1.027
32	 0.198	 0.523	 1.015
33	 0.204	 0.507	 1.003
34	 0.201	 0.490	 0.993
35	 0.200	 0.474	 0.982
36	 0.193	 0.457	 0.973
37	 0.200	 0.441	 0.963
38	 0.203	 0.425	 0.955
39	 0.198	 0.409	 0.946
40	 0.204	 0.394	 0.938
41	 0.201	 0.378	 0.931
42	 0.203	 0.363	 0.923
43	 0.202	 0.348	 0.916
44	 0.198	 0.333	 0.910
45	 0.204	 0.319	 0.904
46	 0.198	 0.305	 0.898
47	 0.199	 0.291	 0.892
48	 0.205	 0.277	 0.887
49	 0.203	 0.264	 0.882
50	 0.201	 0.251	 0.877
51	 0.199	 0.238	 0.873
52	 0.202	 0.226	 0.869
53	 0.203	 0.214	 0.865
54	 0.206	 0.202	 0.861
55	 0.201	 0.191	 0.857
56	 0.209	 0.180	 0.854
57	 0.202	 0.169	 0.851
58	 0.196	 0.159	 0.848
59	 0.207	 0.149	 0.845
60	 0.205	 0.139	 0.843
61	 0.207	 0.130	 0.840
62	 0.204	 0.121	 0.838
63	 0.202	 0.113	 0.836
64	 0.210	 0.104	 0.834
65	 0.201	 0.097	 0.832
66	 0.205	 0.089	 0.830
67	 0.210	 0.082	 0.829
68	 0.212	 0.075	 0.827
69	 0.197	 0.069	 0.826
70	 0.210	 0.063	 0.825
71	 0.209	 0.057	 0.824
72	 0.211	 0.052	 0.823
73	 0.212	 0.047	 0.822
74	 0.205	 0.042	 0.821
75	 0.212	 0.038	 0.820
76	 0.206	 0.034	 0.820
77	 0.209	 0.030	 0.819
78	 0.206	 0.026	 0.819
79	 0.212	 0.023	 0.818
80	 0.222	 0.020	 0.818
81	 0.210	 0.017	 0.817
82	 0.212	 0.015	 0.817
83	 0.211	 0.013	 0.817
84	 0.208	 0.011	 0.817
85	 0.207	 0.009	 0.816
86	 0.216	 0.008	 0.816
87	 0.209	 0.006	 0.816
88	 0.211	 0.005	 0.816
89	 0.205	 0.004	 0.816
90	 0.210	 0.003	 0.816
91	 0.212	 0.003	 0.816
92	 0.214	 0.002	 0.816
93	 0.214	 0.002	 0.816
94	 0.210	 0.002	 0.816
95	 0.212	 0.001	 0.816
96	 0.218	 0.001	 0.816
97	 0.212	 0.001	 0.816
98	 0.216	 0.001	 0.816
99	 1.154	 0.001	 0.816	38.513	30.000
--------------------------------------------------
d72a233d36790a5a3db3452fc1b714f9
--------------------------------------------------
[1mlearning_rate: [0m5e-05
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.491	 1.001	 2.282
1	 0.190	 0.991	 1.985
2	 0.192	 0.980	 1.948
3	 0.189	 0.969	 1.913
4	 0.193	 0.957	 1.879
5	 0.197	 0.945	 1.847
6	 0.184	 0.933	 1.817
7	 0.188	 0.920	 1.787
8	 0.187	 0.907	 1.760
9	 0.189	 0.893	 1.733
10	 0.192	 0.879	 1.708
11	 0.195	 0.865	 1.684
12	 0.193	 0.850	 1.660
13	 0.187	 0.835	 1.638
14	 0.193	 0.820	 1.617
15	 0.194	 0.805	 1.597
16	 0.192	 0.789	 1.577
17	 0.189	 0.773	 1.558
18	 0.191	 0.757	 1.540
19	 0.190	 0.741	 1.523
20	 0.195	 0.725	 1.507
21	 0.195	 0.708	 1.491
22	 0.199	 0.692	 1.476
23	 0.201	 0.675	 1.461
24	 0.195	 0.658	 1.447
25	 0.195	 0.641	 1.433
26	 0.192	 0.624	 1.420
27	 0.192	 0.607	 1.408
28	 0.198	 0.590	 1.396
29	 0.196	 0.574	 1.385
30	 0.196	 0.557	 1.374
31	 0.198	 0.540	 1.363
32	 0.198	 0.523	 1.353
33	 0.195	 0.507	 1.343
34	 0.197	 0.490	 1.334
