Using TensorFlow backend.
[94mObteniendo datos...[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LA PARTE DEL LIKE[0m
[93m[AVISO] 	Usuarios: 48161[0m
[93m[AVISO] 	Restaurantes: 7267[0m
[93m[AVISO] Cargando datos generados previamente...[0m
[94mCreando modelo...[0m


##################################################
 MODELV6
##################################################
 modelv60 Básico
##################################################
[93m[AVISO] Existen 5 combinaciones posibles[0m
--------------------------------------------------
b255ef4c03c93c9744ede04683772441
--------------------------------------------------
[1mlearning_rate: [0m0.0001
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
53	 2.799	 0.214	 0.328
54	 2.793	 0.202	 0.327
55	 2.775	 0.191	 0.326
56	 2.785	 0.180	 0.324
57	 2.779	 0.169	 0.323
58	 2.793	 0.159	 0.322
59	 2.792	 0.149	 0.321
60	 2.793	 0.139	 0.320
61	 2.794	 0.130	 0.319
62	 2.801	 0.121	 0.318
63	 2.803	 0.113	 0.317
64	 2.784	 0.104	 0.316
65	 2.788	 0.097	 0.316
66	 2.803	 0.089	 0.315
67	 2.791	 0.082	 0.314
68	 2.793	 0.075	 0.314
69	 2.803	 0.069	 0.313
70	 2.789	 0.063	 0.313
71	 2.791	 0.057	 0.312
72	 2.799	 0.052	 0.312
73	 2.795	 0.047	 0.312
74	 2.807	 0.042	 0.311
75	 2.806	 0.038	 0.311
76	 2.801	 0.034	 0.311
77	 2.809	 0.030	 0.310
78	 2.790	 0.026	 0.310
79	 2.804	 0.023	 0.310
80	 2.799	 0.020	 0.310
81	 2.817	 0.017	 0.310
82	 2.807	 0.015	 0.310
83	 2.786	 0.013	 0.309
84	 2.799	 0.011	 0.309
85	 2.804	 0.009	 0.309
86	 2.800	 0.008	 0.309
87	 2.795	 0.006	 0.309
88	 2.808	 0.005	 0.309
89	 2.803	 0.004	 0.309
90	 2.808	 0.003	 0.309
91	 2.791	 0.003	 0.309
92	 2.794	 0.002	 0.309
93	 2.797	 0.002	 0.309
94	 2.799	 0.002	 0.309
95	 2.807	 0.001	 0.309
96	 2.801	 0.001	 0.309
97	 2.803	 0.001	 0.309
98	 2.806	 0.001	 0.309
99	26.840	 0.001	 0.309	39.041	32.000
--------------------------------------------------
37cc22aca7cb2609c71be19d79ed9d3c
--------------------------------------------------
[1mlearning_rate: [0m5e-05
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 3.498	 1.001	 1.872
1	 2.674	 0.991	 1.670
2	 2.646	 0.980	 1.519
3	 2.654	 0.969	 1.392
4	 2.652	 0.957	 1.284
5	 2.660	 0.945	 1.189
6	 2.790	 0.933	 1.105
7	 2.665	 0.920	 1.030
8	 2.667	 0.907	 0.963
9	 2.677	 0.893	 0.902
10	 2.667	 0.879	 0.847
11	 2.666	 0.865	 0.798
12	 2.661	 0.850	 0.755
13	 2.665	 0.835	 0.717
14	 2.668	 0.820	 0.683
15	 2.671	 0.805	 0.653
16	 2.664	 0.789	 0.627
17	 2.663	 0.773	 0.605
18	 2.666	 0.757	 0.584
19	 2.651	 0.741	 0.567
20	 2.680	 0.725	 0.551
21	 2.663	 0.708	 0.537
22	 2.671	 0.692	 0.525
23	 2.667	 0.675	 0.514
24	 2.673	 0.658	 0.504
25	 2.674	 0.641	 0.495
26	 2.666	 0.624	 0.487
27	 2.676	 0.607	 0.480
28	 2.672	 0.590	 0.474
29	 2.678	 0.574	 0.468
30	 2.659	 0.557	 0.463
31	 2.673	 0.540	 0.458
32	 2.668	 0.523	 0.454
33	 2.672	 0.507	 0.450
34	 2.685	 0.490	 0.446
35	 2.670	 0.474	 0.442
36	 2.678	 0.457	 0.439
37	 2.679	 0.441	 0.436
38	 2.681	 0.425	 0.434
39	 2.684	 0.409	 0.431
40	 2.674	 0.394	 0.429
41	 2.667	 0.378	 0.427
42	 2.668	 0.363	 0.425
43	 2.674	 0.348	 0.423
44	 2.667	 0.333	 0.421
45	 2.677	 0.319	 0.419
46	 2.679	 0.305	 0.418
47	 2.698	 0.291	 0.416
48	 2.663	 0.277	 0.415
49	 2.666	 0.264	 0.414
50	 2.671	 0.251	 0.413
51	 2.683	 0.238	 0.412
52	 2.679	 0.226	 0.411
53	 2.676	 0.214	 0.410
54	 3.415	 0.202	 0.409
55	 2.825	 0.191	 0.408
56	 2.801	 0.180	 0.407
57	 2.908	 0.169	 0.406
58	 2.759	 0.159	 0.406
59	 3.452	 0.149	 0.405
60	 2.821	 0.139	 0.405
61	 2.792	 0.130	 0.404
62	 2.937	 0.121	 0.404
63	 2.770	 0.113	 0.403
64	 3.443	 0.104	 0.403
65	 2.823	 0.097	 0.402
66	 2.788	 0.089	 0.402
67	 2.936	 0.082	 0.402
68	 2.782	 0.075	 0.401
69	 3.383	 0.069	 0.401
70	 2.942	 0.063	 0.401
71	 2.754	 0.057	 0.400
72	 3.490	 0.052	 0.400
73	 2.865	 0.047	 0.400
74	 2.746	 0.042	 0.400
75	 2.927	 0.038	 0.400
76	 2.771	 0.034	 0.400
77	 3.427	 0.030	 0.399
78	 2.934	 0.026	 0.399
79	 2.770	 0.023	 0.399
80	 3.462	 0.020	 0.399
81	 2.808	 0.017	 0.399
82	 2.802	 0.015	 0.399
83	 2.937	 0.013	 0.399
84	 2.770	 0.011	 0.399
85	 3.414	 0.009	 0.399
86	 2.836	 0.008	 0.399
87	 2.781	 0.006	 0.399
88	 2.941	 0.005	 0.399
89	 2.776	 0.004	 0.399
90	 3.394	 0.003	 0.399
91	 2.828	 0.003	 0.399
92	 2.806	 0.002	 0.399
93	 2.946	 0.002	 0.399
94	 2.779	 0.002	 0.399
95	 3.316	 0.001	 0.399
96	 2.823	 0.001	 0.399
97	 2.814	 0.001	 0.399
98	 2.925	 0.001	 0.399
99	28.978	 0.001	 0.399	25.774	18.000
--------------------------------------------------
16fd7d32e6ee862898aae2bd291a3542
--------------------------------------------------
[1mlearning_rate: [0m1e-05
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 4.507	 1.001	 1.953
1	 2.776	 0.991	 1.892
2	 3.441	 0.980	 1.847
3	 2.811	 0.969	 1.805
4	 2.808	 0.957	 1.765
5	 2.816	 0.945	 1.727
6	 2.762	 0.933	 1.691
7	 2.910	 0.920	 1.657
8	 2.746	 0.907	 1.624
9	 3.469	 0.893	 1.593
10	 2.801	 0.879	 1.563
11	 2.774	 0.865	 1.534
12	 2.917	 0.850	 1.506
13	 2.750	 0.835	 1.480
14	 3.477	 0.820	 1.454
15	 2.808	 0.805	 1.429
16	 2.820	 0.789	 1.406
17	 2.909	 0.773	 1.383
18	 2.751	 0.757	 1.361
19	 3.477	 0.741	 1.339
20	 2.792	 0.725	 1.319
21	 2.797	 0.708	 1.299
22	 2.842	 0.692	 1.280
23	 2.748	 0.675	 1.262
24	 2.851	 0.658	 1.244
25	 2.776	 0.641	 1.228
26	 3.423	 0.624	 1.211
27	 2.807	 0.607	 1.196
28	 2.814	 0.590	 1.181
29	 2.908	 0.574	 1.167
30	 2.745	 0.557	 1.153
31	 3.474	 0.540	 1.140
32	 2.798	 0.523	 1.127
33	 2.797	 0.507	 1.115
34	 2.920	 0.490	 1.104
35	 2.755	 0.474	 1.093
36	 3.419	 0.457	 1.082
37	 2.805	 0.441	 1.072
38	 2.815	 0.425	 1.063
39	 2.946	 0.409	 1.053
40	 2.782	 0.394	 1.045
41	 3.430	 0.378	 1.036
42	 2.828	 0.363	 1.029
43	 2.771	 0.348	 1.021
44	 2.936	 0.333	 1.014
45	 2.764	 0.319	 1.007
46	 3.395	 0.305	 1.001
47	 2.829	 0.291	 0.995
48	 2.754	 0.277	 0.989
49	 2.912	 0.264	 0.983
50	 2.774	 0.251	 0.978
51	 3.448	 0.238	 0.973
52	 2.924	 0.226	 0.969
53	 2.769	 0.214	 0.964
54	 3.452	 0.202	 0.960
55	 2.833	 0.191	 0.957
56	 2.788	 0.180	 0.953
57	 2.842	 0.169	 0.950
58	 2.781	 0.159	 0.947
59	 2.865	 0.149	 0.944
60	 2.779	 0.139	 0.941
61	 3.427	 0.130	 0.938
62	 2.855	 0.121	 0.936
63	 2.776	 0.113	 0.934
64	 2.864	 0.104	 0.932
65	 2.768	 0.097	 0.930
66	 3.468	 0.089	 0.928
67	 2.854	 0.082	 0.926
68	 2.767	 0.075	 0.925
69	 2.861	 0.069	 0.924
70	 2.774	 0.063	 0.922
71	 3.486	 0.057	 0.921
72	 2.963	 0.052	 0.920
73	 2.778	 0.047	 0.919
74	 3.449	 0.042	 0.919
75	 2.826	 0.038	 0.918
76	 2.791	 0.034	 0.917
77	 2.929	 0.030	 0.917
78	 2.778	 0.026	 0.916
79	 3.380	 0.023	 0.916
80	 2.845	 0.020	 0.915
81	 2.776	 0.017	 0.915
82	 2.943	 0.015	 0.915
83	 2.773	 0.013	 0.914
84	 3.433	 0.011	 0.914
85	 2.820	 0.009	 0.914
86	 2.821	 0.008	 0.914
87	 2.917	 0.006	 0.914
88	 2.781	 0.005	 0.914
89	 3.453	 0.004	 0.913
90	 2.824	 0.003	 0.913
91	 2.793	 0.003	 0.913
92	 2.926	 0.002	 0.913
93	 2.776	 0.002	 0.913
94	 3.452	 0.002	 0.913
95	 2.842	 0.001	 0.913
96	 2.780	 0.001	 0.913
97	 2.884	 0.001	 0.913
98	 2.800	 0.001	 0.913
99	28.926	 0.001	 0.913	19.984	13.000
--------------------------------------------------
cb84954c81e27fdf93aa328e3c66ef8f
--------------------------------------------------
[1mlearning_rate: [0m5e-06
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 3.946	 1.001	 1.964
1	 2.909	 0.991	 1.926
2	 2.744	 0.980	 1.902
3	 3.488	 0.969	 1.879
4	 2.919	 0.957	 1.856
5	 2.768	 0.945	 1.834
6	 3.463	 0.933	 1.813
7	 2.812	 0.920	 1.793
8	 2.819	 0.907	 1.774
9	 2.907	 0.893	 1.755
10	 2.766	 0.879	 1.736
11	 3.469	 0.865	 1.719
12	 2.807	 0.850	 1.701
13	 2.811	 0.835	 1.685
14	 2.929	 0.820	 1.668
15	 2.764	 0.805	 1.653
16	 3.438	 0.789	 1.637
17	 2.834	 0.773	 1.623
18	 2.781	 0.757	 1.608
19	 2.909	 0.741	 1.594
20	 2.768	 0.725	 1.581
21	 3.425	 0.708	 1.568
22	 2.805	 0.692	 1.555
23	 2.809	 0.675	 1.543
24	 2.935	 0.658	 1.531
25	 2.755	 0.641	 1.520
26	 3.472	 0.624	 1.509
27	 2.800	 0.607	 1.498
28	 2.807	 0.590	 1.488
29	 2.817	 0.574	 1.478
30	 2.781	 0.557	 1.468
31	 2.921	 0.540	 1.459
32	 2.767	 0.523	 1.450
33	 3.469	 0.507	 1.441
34	 2.811	 0.490	 1.433
35	 2.797	 0.474	 1.425
36	 2.932	 0.457	 1.417
37	 2.758	 0.441	 1.410
38	 3.394	 0.425	 1.403
39	 2.812	 0.409	 1.396
40	 2.798	 0.394	 1.390
41	 2.845	 0.378	 1.384
42	 2.783	 0.363	 1.378
43	 2.860	 0.348	 1.372
44	 2.769	 0.333	 1.367
45	 3.432	 0.319	 1.362
46	 2.841	 0.305	 1.357
47	 2.764	 0.291	 1.352
48	 2.871	 0.277	 1.348
49	 2.769	 0.264	 1.344
50	 3.396	 0.251	 1.340
51	 2.843	 0.238	 1.336
52	 2.779	 0.226	 1.332
53	 2.907	 0.214	 1.329
54	 2.773	 0.202	 1.326
55	 3.466	 0.191	 1.323
56	 2.957	 0.180	 1.320
57	 2.756	 0.169	 1.317
58	 3.478	 0.159	 1.315
59	 2.857	 0.149	 1.312
60	 2.787	 0.139	 1.310
61	 2.846	 0.130	 1.308
62	 2.748	 0.121	 1.306
63	 3.497	 0.113	 1.305
64	 2.842	 0.104	 1.303
65	 2.782	 0.097	 1.301
66	 2.868	 0.089	 1.300
67	 2.760	 0.082	 1.299
68	 3.441	 0.075	 1.298
69	 2.834	 0.069	 1.296
70	 2.792	 0.063	 1.295
71	 2.893	 0.057	 1.295
72	 2.777	 0.052	 1.294
73	 3.481	 0.047	 1.293
74	 2.936	 0.042	 1.292
75	 2.801	 0.038	 1.292
76	 3.395	 0.034	 1.291
77	 2.847	 0.030	 1.291
78	 2.762	 0.026	 1.290
79	 2.882	 0.023	 1.290
80	 2.771	 0.020	 1.290
81	 3.417	 0.017	 1.289
82	 2.828	 0.015	 1.289
83	 2.805	 0.013	 1.289
84	 2.864	 0.011	 1.289
85	 2.769	 0.009	 1.289
86	 3.461	 0.008	 1.288
87	 2.943	 0.006	 1.288
88	 2.786	 0.005	 1.288
89	 3.498	 0.004	 1.288
90	 2.810	 0.003	 1.288
91	 2.803	 0.003	 1.288
92	 2.876	 0.002	 1.288
93	 2.780	 0.002	 1.288
94	 3.413	 0.002	 1.288
95	 2.839	 0.001	 1.288
96	 2.760	 0.001	 1.288
97	 2.937	 0.001	 1.288
98	 2.793	 0.001	 1.288
99	29.237	 0.001	 1.288	20.722	13.000
--------------------------------------------------
66279641239af74a5a455cda77be2f3a
--------------------------------------------------
[1mlearning_rate: [0m1e-06
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 3.925	 1.001	 1.973
1	 2.836	 0.991	 1.955
2	 2.758	 0.980	 1.950
3	 3.475	 0.969	 1.944
4	 2.803	 0.957	 1.939
5	 2.845	 0.945	 1.934
6	 2.856	 0.933	 1.930
7	 2.775	 0.920	 1.925
8	 3.469	 0.907	 1.920
9	 2.804	 0.893	 1.915
10	 2.840	 0.879	 1.911
11	 2.907	 0.865	 1.906
12	 2.733	 0.850	 1.902
13	 3.466	 0.835	 1.898
14	 3.317	 0.820	 1.893
15	 2.713	 0.805	 1.889
16	 2.714	 0.789	 1.885
17	 2.736	 0.773	 1.881
18	 2.707	 0.757	 1.878
19	 2.723	 0.741	 1.874
20	 2.722	 0.725	 1.870
21	 2.723	 0.708	 1.867
22	 2.730	 0.692	 1.863
23	 2.703	 0.675	 1.860
24	 2.696	 0.658	 1.857
25	 2.907	 0.641	 1.853
26	 2.812	 0.624	 1.850
27	 2.821	 0.607	 1.847
28	 2.938	 0.590	 1.844
29	 2.753	 0.574	 1.842
30	 3.467	 0.557	 1.839
31	 2.838	 0.540	 1.836
32	 2.833	 0.523	 1.834
33	 2.909	 0.507	 1.831
34	 2.754	 0.490	 1.829
35	 3.469	 0.474	 1.826
36	 2.818	 0.457	 1.824
37	 2.771	 0.441	 1.822
38	 2.911	 0.425	 1.820
39	 2.760	 0.409	 1.818
40	 3.493	 0.394	 1.816
41	 2.936	 0.378	 1.814
42	 2.764	 0.363	 1.812
43	 3.475	 0.348	 1.811
44	 2.823	 0.333	 1.809
45	 2.818	 0.319	 1.807
46	 2.927	 0.305	 1.806
47	 2.779	 0.291	 1.805
48	 3.425	 0.277	 1.803
49	 2.943	 0.264	 1.802
50	 2.761	 0.251	 1.801
51	 3.471	 0.238	 1.800
52	 2.850	 0.226	 1.798
53	 2.768	 0.214	 1.797
54	 2.916	 0.202	 1.796
55	 2.786	 0.191	 1.795
56	 3.418	 0.180	 1.795
57	 2.725	 0.169	 1.794
58	 2.723	 0.159	 1.793
59	 2.706	 0.149	 1.792
60	 2.731	 0.139	 1.792
61	 2.724	 0.130	 1.791
62	 2.715	 0.121	 1.790
63	 2.721	 0.113	 1.790
64	 2.726	 0.104	 1.789
65	 2.733	 0.097	 1.789
66	 2.711	 0.089	 1.788
67	 2.895	 0.082	 1.788
68	 2.821	 0.075	 1.788
69	 2.797	 0.069	 1.787
70	 2.916	 0.063	 1.787
71	 2.767	 0.057	 1.787
72	 3.453	 0.052	 1.786
73	 2.817	 0.047	 1.786
74	 2.791	 0.042	 1.786
75	 2.907	 0.038	 1.786
76	 2.786	 0.034	 1.786
77	 3.437	 0.030	 1.786
78	 2.827	 0.026	 1.785
79	 2.831	 0.023	 1.785
80	 2.947	 0.020	 1.785
81	 2.801	 0.017	 1.785
82	 3.464	 0.015	 1.785
83	 2.941	 0.013	 1.785
84	 2.918	 0.011	 1.785
85	 2.711	 0.009	 1.785
86	 2.732	 0.008	 1.785
87	 2.742	 0.006	 1.785
88	 2.733	 0.005	 1.785
89	 2.745	 0.004	 1.785
90	 2.748	 0.003	 1.785
91	 2.719	 0.003	 1.785
92	 2.745	 0.002	 1.785
93	 2.744	 0.002	 1.785
94	 2.720	 0.002	 1.785
95	 2.838	 0.001	 1.785
96	 3.222	 0.001	 1.785
97	 2.827	 0.001	 1.785
98	 2.812	 0.001	 1.785
99	28.635	 0.001	 1.785	32.618	25.000
